prediction_column,reference_columns,evaluated_items,precision,recall,micro_f1,tp,fp,fn,exact_best_matches,exact_best_match_rate,no_relation_best_matches,skipped_missing_prediction,skipped_no_reference,position_sensitive_precision,position_sensitive_recall,position_sensitive_micro_f1,position_sensitive_tp,position_sensitive_fp,position_sensitive_fn
LLM__lex_zero_shot_base__openai_gpt-5.4-mini_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,218,0.30223880597014924,0.46551724137931033,0.3665158371040724,81,187,93,72,0.3302752293577982,29,5,0,,,,,,
LLM__lex_zero_shot_base__anthropic_claude-haiku-4.5_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.410958904109589,0.6818181818181818,0.5128205128205128,120,172,56,100,0.4484304932735426,26,0,0,,,,,,
LLM__lex_zero_shot_base__google_gemini-3.1-flash-lite_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.3179347826086957,0.6647727272727273,0.43014705882352944,117,251,59,67,0.3004484304932735,9,0,0,,,,,,
LLM__lex_zero_shot_base__openai_gpt-oss-20b_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,221,0.36704119850187267,0.5632183908045977,0.4444444444444444,98,169,76,88,0.39819004524886875,32,2,0,,,,,,
LLM__lex_zero_shot_constrained__openai_gpt-5.4-mini_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.32413793103448274,0.5340909090909091,0.4034334763948498,94,196,82,72,0.32286995515695066,27,0,0,,,,,,
LLM__lex_zero_shot_constrained__anthropic_claude-haiku-4.5_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.5764192139737991,0.75,0.6518518518518519,132,97,44,122,0.547085201793722,32,0,0,,,,,,
LLM__lex_zero_shot_constrained__google_gemini-3.1-flash-lite_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.3959537572254335,0.7784090909090909,0.524904214559387,137,209,39,86,0.38565022421524664,10,0,0,,,,,,
LLM__lex_zero_shot_constrained__openai_gpt-oss-20b_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,218,0.5095238095238095,0.6184971098265896,0.5587467362924282,107,103,66,112,0.5137614678899083,40,5,0,,,,,,
LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.5393700787401575,0.7784090909090909,0.6372093023255814,137,117,39,125,0.5605381165919282,37,0,0,,,,,,
LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.5431654676258992,0.8579545454545454,0.6651982378854625,151,127,25,131,0.5874439461883408,36,0,0,,,,,,
LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.6186440677966102,0.8295454545454546,0.7087378640776699,146,90,30,142,0.6367713004484304,40,0,0,,,,,,
LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.5388127853881278,0.6704545454545454,0.5974683544303797,118,101,58,118,0.5291479820627802,41,0,0,,,,,,
LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.5454545454545454,0.7159090909090909,0.6191646191646192,126,105,50,126,0.5650224215246636,47,0,0,,,,,,
LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.6375545851528385,0.8295454545454546,0.7209876543209877,146,83,30,146,0.6547085201793722,49,0,0,,,,,,
LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.680952380952381,0.8125,0.7409326424870466,143,67,33,153,0.6860986547085202,47,0,0,,,,,,
LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,223,0.6482412060301508,0.7329545454545454,0.688,129,70,47,136,0.6098654708520179,48,0,0,,,,,,
