model,prompt_style,total,completed,evaluable_total,already_correct,raw_success,raw_total_solved,raw_success_rate,raw_total_solved_rate,raw_total_solved_evaluable_rate,normalised_success,normalised_total_solved,normalised_success_rate,normalised_total_solved_rate,normalised_total_solved_evaluable_rate,baseline_solved,raw_kb_solved,normalised_kb_solved,kb_not_solved,kb_generation_failed,kb_generation_empty,kb_normalisation_empty,baseline_prover_failed,normalised_kb_prover_failed,unknown_or_missing,fixed_by_raw_kb,fixed_by_normalised_kb,fixed_by_both,fixed_by_none
anthropic/claude-opus-4.5,legacy_icl,50,50,50,12,29,41,0.58,0.82,0.82,30,42,0.6,0.84,0.84,0,0,0,0,0,0,0,0,0,0,28,0,1,20
anthropic/claude-opus-4.5,icl,50,50,50,12,25,37,0.5,0.74,0.74,27,39,0.54,0.78,0.78,12,24,3,6,0,5,0,0,0,0,24,2,1,23
anthropic/claude-sonnet-4.5,legacy_icl,50,50,50,12,28,40,0.56,0.8,0.8,30,42,0.6,0.84,0.84,12,25,5,8,0,0,0,0,0,0,25,2,3,20
anthropic/claude-sonnet-4.5,icl,50,50,50,12,27,39,0.54,0.78,0.78,29,41,0.58,0.82,0.82,12,26,3,8,0,1,0,0,0,0,26,2,1,21
anthropic/claude-haiku-4.5,legacy_icl,50,50,50,12,29,41,0.58,0.82,0.82,29,41,0.58,0.82,0.82,12,28,1,9,0,0,0,0,0,0,28,0,1,21
anthropic/claude-haiku-4.5,icl,50,50,50,12,30,42,0.6,0.84,0.84,30,42,0.6,0.84,0.84,12,29,1,8,0,0,0,0,0,0,29,0,1,20
anthropic/claude-opus-4.7,legacy_icl,50,50,50,12,29,41,0.58,0.82,0.82,30,42,0.6,0.84,0.84,0,0,0,0,0,0,0,0,0,0,28,0,1,20
anthropic/claude-opus-4.7,icl,50,50,50,12,32,44,0.64,0.88,0.88,32,44,0.64,0.88,0.88,0,0,0,0,0,0,0,0,0,0,31,0,1,18
anthropic/claude-sonnet-4.6,legacy_icl,50,50,50,12,28,40,0.56,0.8,0.8,29,41,0.58,0.82,0.82,12,27,2,9,0,0,0,0,0,0,27,1,1,21
anthropic/claude-sonnet-4.6,icl,50,50,50,12,26,38,0.52,0.76,0.76,29,41,0.58,0.82,0.82,12,25,4,7,0,2,0,0,0,0,25,3,1,21
openai/gpt-5.5-pro,legacy_icl,50,50,50,12,26,38,0.52,0.76,0.76,29,41,0.58,0.82,0.82,12,24,5,9,0,0,0,0,0,0,24,3,2,21
